team,hc_2025,hc_2026,qb_2025,qb_2025_starts,qb_2025_all,qb26_r1,qb26_r2,oc_2025,pc_2025,adds,losses,n_picks,picks,skill_picks,hc_change,qb_change,oc_vacated,oc_status,dc_status
DET,Dan Campbell,Dan Campbell,Jared Goff,17,Jared Goff (17),Jared Goff,Teddy Bridgewater,John Morton,Dan Campbell,"D.J. Wonnum (LB, from CAR); Chuck Clark (DB, from PIT); Isiah Pacheco (RB, from KC); Roger McCreary (DB, from LA); Greg Dortch (WR, from ARI); Jay Tufele (DL, from NYJ); Cedrick Wilson Jr. (WR, from MIA); Tyler Conklin (TE, from LAC); Christian Izien (DB, from TB); Joe Bachie (LB, from TEN)",Alex Anzalone (LB -> TB); Amik Robertson (DB -> WAS); DJ Reader (DL -> NYG); Al-Quadin Muhammad (DL -> TB); Roy Lopez (DL -> ARI); David Montgomery (RB -> HOU); Kalif Raymond (WR -> CHI),7,R1.17 Blake Miller (OT); R2.44 Derrick Moore (DE); R4.118 Jimmy Rolder (LB); R5.157 Keith Abney II (CB); R5.168 Kendrick Law (WR); R6.205 Skyler Gill-Howard (DT); R7.222 Tyre West (DT),,FALSE,FALSE,FALSE,Unknown - needs coordinators.csv,Unknown - needs coordinators.csv
GB,Matt LaFleur,Matt LaFleur,Jordan Love,16,"Clayton Tune (1), Jordan Love (16), Malik Willis (1)",Jordan Love,Tyrod Taylor,Adam Stenavich,Matt LaFleur,"Zaire Franklin (LB, from IND); Javon Hargrave (DL, from MIN); Benjamin St-Juste (DB, from LAC); Tyrod Taylor (QB, from NYJ)",Quay Walker (LB -> LV); Romeo Doubs (WR -> NE); Rashan Gary (DL -> DAL); Colby Wooden (DL -> IND); Kingsley Enagbare (DL -> NYJ); Dontayvion Wicks (WR -> PHI); Nate Hobbs (DB -> SF); Emanuel Wilson (RB -> SEA),6,R2.52 Brandon Cisse (CB); R3.77 Chris McClellan (DT); R4.120 Dani Dennis-Sutton (DE); R5.153 Jager Burton (C); R6.201 Domani Jackson (CB); R6.216 Trey Smack (K),,FALSE,FALSE,FALSE,Unknown - needs coordinators.csv,Unknown - needs coordinators.csv
HOU,DeMeco Ryans,DeMeco Ryans,C.J. Stroud,16,"C.J. Stroud (16), Davis Mills (3)",C.J. Stroud,Davis Mills,Nick Caley,Nick Caley,"Reed Blankenship (DB, from PHI); Logan Hall (DL, from TB); David Montgomery (RB, from DET); Foster Moreau (TE, from NO); Dominique Robinson (DL, from CHI)",Christian Kirk (WR -> SF); Tim Settle (DL -> WAS); Myles Bryant (DB -> CLE),8,R1.26 Keylan Rutledge (G); R2.36 Kayden McDonald (DT); R2.59 Marlin Klein (TE); R4.106 Febechi Nwaiwu (OL); R4.123 Wade Woodaz (LB); R5.141 Kamari Ramsey (S); R6.204 Lewis Bond (WR); R7.243 Aiden Fisher (LB),R2 Marlin Klein (TE),FALSE,FALSE,FALSE,Unknown - needs coordinators.csv,Unknown - needs coordinators.csv
IND,Shane Steichen,Shane Steichen,Daniel Jones,13,"Daniel Jones (13), Philip Rivers (3), Riley Leonard (1)",Daniel Jones,Anthony Richardson Sr.,Jim Bob Cooter,Shane Steichen,"Akeem Davis-Gaither (LB, from ARI); Colby Wooden (DL, from GB); Micheal Clemons (DL, from NYJ); Arden Key (DL, from TEN); Nick Westbrook-Ikhine (WR, from MIA); Jerry Tillery (DL, from KC); Cam Taylor-Britt (DB, from CIN); Derrick Nnadi (DL, from KC); Juanyeh Thomas (DB, from DAL)",Zaire Franklin (LB -> GB); Nick Cross (DB -> WAS); Michael Pittman (WR -> PIT); Kwity Paye (DL -> LV); Neville Gallimore (DL -> CHI); Samson Ebukam (DL -> ATL),8,R2.53 CJ Allen (LB); R3.78 A.J. Haulcy (S); R4.113 Jalen Farmer (G); R4.135 Bryce Boettcher (LB); R5.156 George Gumbs Jr. (DE); R6.214 Caden Curry (DE); R7.237 Seth McGowan (RB); R7.254 Deion Burks (WR),,FALSE,FALSE,FALSE,Unknown - needs coordinators.csv,Unknown - needs coordinators.csv
JAX,Liam Coen,Liam Coen,Trevor Lawrence,18,Trevor Lawrence (18),Trevor Lawrence,Nick Mullens,Grant Udinski,Liam Coen,"Ruke Orhorhoro (DL, from ATL); Chris Rodriguez Jr. (RB, from WAS)",Andrew Wingard (DB -> ARI); Greg Newsome II (DB -> NYG); Devin Lloyd (LB -> CAR); Travis Etienne (RB -> NO); Johnny Mundt (TE -> PHI); Dyami Brown (WR -> WAS); Tim Patrick (WR -> NYJ); Maason Smith (DL -> ATL),10,R2.56 Nate Boerkircher (TE); R3.81 Albert Regis (DT); R3.88 Emmanuel Pregnon (G); R3.100 Jalen Huskey (S); R4.119 Wesley Williams (DE); R5.164 Tanner Koziol (TE); R6.191 Josh Cameron (WR); R6.203 CJ Williams (WR); R7.233 Zach Durfee (DE); R7.240 Parker Hughes (LB),R2 Nate Boerkircher (TE),FALSE,FALSE,FALSE,Unknown - needs coordinators.csv,Unknown - needs coordinators.csv
KC,Andy Reid,Andy Reid,Patrick Mahomes,14,"Chris Oladokun (2), Gardner Minshew (1), Patrick Mahomes (14)",Patrick Mahomes,Justin Fields,Matt Nagy,Andy Reid,"Alohi Gilman (DB, from BAL); Kenneth Walker III (RB, from SEA); Kaiir Elam (DB, from TEN); Justin Fields (QB, from NYJ); Khyiris Tonga (DL, from NE); L'Jarius Sneed (DB, from TEN); Emari Demercado (RB, from ARI)",Jaylen Watson (DB -> LA); Bryan Cook (DB -> CIN); Trent McDuffie (DB -> LA); JuJu Smith-Schuster (WR -> NYG); Charles Omenihu (DL -> WAS); Marquise Brown (WR -> PHI); Leo Chenal (LB -> WAS); Isiah Pacheco (RB -> DET); Michael Danna (DL -> BUF); Jerry Tillery (DL -> IND); Derrick Nnadi (DL -> IND),7,R1.6 Mansoor Delane (CB); R1.29 Peter Woods (DT); R2.40 R Mason Thomas (DE); R4.109 Jadon Canady (CB); R5.161 Emmett Johnson (RB); R5.176 Cyrus Allen (WR); R7.249 Garrett Nussmeier (QB),,FALSE,FALSE,FALSE,Unknown - needs coordinators.csv,Unknown - needs coordinators.csv
LA,Sean McVay,Sean McVay,Matthew Stafford,20,Matthew Stafford (20),Matthew Stafford,Ty Simpson,Mike LaFleur,Sean McVay,"Myles Garrett (DL, from CLE); Jaylen Watson (DB, from KC); Trent McDuffie (DB, from KC)",Jared Verse (LB -> CLE); Cobie Durant (DB -> DAL); Roger McCreary (DB -> DET),5,R1.13 Ty Simpson (QB); R2.61 Max Klare (TE); R3.93 Keagen Trost (OL); R6.197 CJ Daniels (WR); R7.232 Tim Keenan III (DT),R1 Ty Simpson (QB); R2 Max Klare (TE),FALSE,FALSE,FALSE,Unknown - needs coordinators.csv,Unknown - needs coordinators.csv
LAC,Jim Harbaugh,Jim Harbaugh,Justin Herbert,17,"Justin Herbert (17), Trey Lance (1)",Justin Herbert,Trey Lance,Greg Roman,Greg Roman,"Dalvin Tomlinson (DL, from ARI); David Njoku (TE, from CLE); Charlie Kolar (TE, from BAL); Alec Ingold (RB, from MIA)",Odafe Oweh (LB -> WAS); Da'Shawn Hand (DL -> ATL); Benjamin St-Juste (DB -> GB),8,R1.22 Akheem Mesidor (DE); R2.63 Jake Slaughter (C); R4.105 Brenen Thompson (WR); R4.117 Travis Burke (OT); R4.131 Genesis Smith (S); R5.145 Nick Barrett (DT); R6.202 Logan Taylor (G); R6.206 Alex Harkey (OT),,FALSE,FALSE,FALSE,Unknown - needs coordinators.csv,Unknown - needs coordinators.csv
LV,Pete Carroll,Klint Kubliak,Geno Smith,15,"Geno Smith (15), Kenny Pickett (2)",Kirk Cousins,Fernando Mendoza,Greg Olson,Greg Olson,"Quay Walker (LB, from GB); Kwity Paye (DL, from IND); Taron Johnson (DB, from BUF); Jalen Nailor (WR, from MIN); Kirk Cousins (QB, from ATL); Nakobe Dean (LB, from PHI); Benito Jones (DL, from MIA)",Geno Smith (QB -> NYJ); Tyree Wilson (DL -> NO); Lonnie Johnson (DB -> MIA),10,R1.1 Fernando Mendoza (QB); R2.38 Treydan Stukes (CB); R3.67 Keyron Crawford (DE); R3.91 Trey Zuhn III (OT); R4.101 Jermod McCoy (CB); R4.122 Mike Washington Jr. (RB); R5.150 Dalton Johnson (S); R5.175 Hezekiah Masses (CB); R6.195 Malik Benson (WR); R7.229 Brandon Cleveland (DT),R1 Fernando Mendoza (QB),TRUE,TRUE,FALSE,Change likely (new HC),Change likely (new HC)
MIA,Mike McDaniel,Jeff Hafley,Tua Tagovailoa,14,"Quinn Ewers (3), Tua Tagovailoa (14)",Malik Willis,Quinn Ewers,Frank Smith,Mike McDaniel,"Darrell Baker Jr. (DB, from TEN); Jalen Tolbert (WR, from DAL); Lonnie Johnson (DB, from LV); Ronnie Harrison (LB, from ATL); Joshua Uche (LB, from PHI); Tutu Atwell (WR, from LA); David Ojabo (LB, from BAL)",Jack Jones (DB -> SF); Minkah Fitzpatrick (DB -> NYJ); Tua Tagovailoa (QB -> ATL); Bradley Chubb (LB -> BUF); Jaylen Waddle (WR -> DEN); Ashtyn Davis (DB -> SF); Julian Hill (TE -> NE); Nick Westbrook-Ikhine (WR -> IND); Alec Ingold (RB -> LAC),13,R1.12 Kadyn Proctor (OT); R1.27 Chris Johnson (CB); R2.43 Jacob Rodriguez (LB); R3.75 Caleb Douglas (WR); R3.87 Will Kacmarek (TE); R3.94 Chris Bell (WR); R4.130 Trey Moore (LB); R4.138 Kyle Louis (LB); R5.158 Michael Taaffe (S); R5.177 Kevin Coleman Jr. (WR); R5.180 Seydou Traore (TE); R6.200 DJ Campbell (G); R7.238 Max Llewellyn (DE),R3 Caleb Douglas (WR); R3 Will Kacmarek (TE); R3 Chris Bell (WR),TRUE,TRUE,FALSE,Change likely (new HC),Change likely (new HC)
MIN,Kevin O'Connell,Kevin O'Connell,J.J. McCarthy,10,"Carson Wentz (5), J.J. McCarthy (10), Max Brosmer (2)",Kyler Murray,J.J. McCarthy,Wes Phillips,Kevin O'Connell,"Jauan Jennings (WR, from SF); James Pierre (DB, from PIT); Kyler Murray (QB, from ARI)",Jonathan Allen (DL -> CIN); Jalen Nailor (WR -> LV); Jonathan Greenard (LB -> PHI); Javon Hargrave (DL -> GB),9,R1.18 Caleb Banks (DT); R2.51 Jake Golday (LB); R3.82 Domonique Orange (DT); R3.97 Caleb Tiernan (OT); R3.98 Jakobe Thomas (S); R5.159 Max Bredeson (TE); R5.163 Charles Demmings (CB); R6.198 Demond Claiborne (RB); R7.235 Gavin Gerhardt (OL),,FALSE,TRUE,FALSE,Unknown - needs coordinators.csv,Unknown - needs coordinators.csv
NE,Mike Vrabel,Mike Vrabel,Drake Maye,21,Drake Maye (21),Drake Maye,Tommy DeVito,Josh McDaniels,Josh McDaniels,"Kevin Byard (DB, from CHI); A.J. Brown (WR, from PHI); Romeo Doubs (WR, from GB); Dre'Mont Jones (LB, from BAL); Julian Hill (TE, from MIA); Reggie Gilliam (RB, from BUF); Kindle Vildor (DB, from TB)",Jaylinn Hawkins (DB -> BAL); K'Lavon Chaisson (LB -> WAS); Austin Hooper (TE -> ATL); Jack Gibbens (LB -> ARI); Khyiris Tonga (DL -> KC); Anfernee Jennings (LB -> NO),9,R1.28 Caleb Lomu (OT); R2.55 Gabe Jacas (DE); R3.95 Eli Raridon (TE); R5.171 Karon Prunty (DB); R6.196 Dametrious Crownover (OT); R6.212 Namdi Obiazor (LB); R7.234 Behren Morton (QB); R7.245 Jam Miller (RB); R7.247 Quintayvious Hutchins (DE),R3 Eli Raridon (TE),FALSE,FALSE,FALSE,Unknown - needs coordinators.csv,Unknown - needs coordinators.csv
NO,Kellen Moore,Kellen Moore,Tyler Shough,9,"Spencer Rattler (8), Tyler Shough (9)",Tyler Shough,Spencer Rattler,Doug Nussmeier,Kellen Moore,"Kaden Elliss (LB, from ATL); Travis Etienne (RB, from JAX); Tyree Wilson (DL, from LV); Anfernee Jennings (LB, from NE); Noah Fant (TE, from CIN)",Demario Davis (LB -> NYJ); Alontae Taylor (DB -> TEN); Jonah Williams (DL -> ARI); Jonathan Bullard (DL -> DAL),8,R1.8 Jordyn Tyson (WR); R2.42 Christen Miller (DT); R3.73 Oscar Delp (TE); R4.132 Jeremiah Wright (G); R4.136 Bryce Lance (WR); R5.172 Lorenzo Styles Jr. (S); R6.190 Barion Brown (WR); R7.219 TJ Hall (CB),R1 Jordyn Tyson (WR); R3 Oscar Delp (TE),FALSE,FALSE,FALSE,Unknown - needs coordinators.csv,Unknown - needs coordinators.csv
NYG,Brian Daboll,John Harbaugh,Jaxson Dart,12,"Jameis Winston (2), Jaxson Dart (12), Russell Wilson (3)",Jaxson Dart,Jameis Winston,Tim Kelly,Mike Kafka,"Tremaine Edmunds (LB, from CHI); Greg Newsome II (DB, from JAX); Darnell Mooney (WR, from ATL); JuJu Smith-Schuster (WR, from KC); DJ Reader (DL, from DET); Shelby Harris (DL, from CLE); Jason Pinnock (DB, from SF); Isaiah Likely (TE, from BAL); Calvin Austin III (WR, from PIT); Patrick Ricard (RB, from BAL); Leki Fotu (DL, from HOU)",Wan'Dale Robinson (WR -> TEN); Cordale Flott (DB -> TEN); Dexter Lawrence (DL -> CIN); Dane Belton (DB -> NYJ); Daniel Bellinger (TE -> TEN),7,R1.5 Arvell Reese (LB); R1.10 Francis Mauigoa (OT); R2.37 Colton Hood (CB); R3.74 Malachi Fields (WR); R6.186 Bobby Jamison-Travis (DL); R6.192 J.C. Davis (OT); R6.193 Jack Kelly (LB),R3 Malachi Fields (WR),TRUE,FALSE,FALSE,Change likely (new HC),Change likely (new HC)
