team_spread,q1_trail_big,q2_trail,q3_lead,q4_lead_big,eff_n
-21,0.683768940300474,0.2210205974409955,0.07621970021729231,0.01899076204123821,13.171483435727025
-20.5,0.668597553850482,0.21420854821775306,0.08945576476089338,0.02773813317087144,16.26380505152712
-20,0.6444823781959766,0.2150168828436499,0.10272505669194322,0.037775682268430144,21.92810720205607
-19.5,0.616734512553467,0.2227243069385382,0.11322357223959763,0.04731760826839719,31.985420041050777
-19,0.5915455427469951,0.23473620047039534,0.11929472408914459,0.05442353269346486,46.29649047524577
-18.5,0.5722700532337573,0.24744197271352295,0.12186541743292946,0.058422556619790234,61.176838620038424
-18,0.5580194865821746,0.25841641134800847,0.12348510205850258,0.06007900001131431,75.67377356941167
-17.5,0.5458915476029298,0.26707394854654554,0.12641226107699596,0.06062224277352864,94.10476016964347
-17,0.5335028557130511,0.2738348155295193,0.13165387931103134,0.061008449446398064,121.8246307550624
-16.5,0.5200876500909533,0.27925736913470445,0.138903494235066,0.06175148653927631,162.42065464409802
-16,0.5063798898128511,0.28367073844365104,0.14694437051924586,0.06300500122425186,213.31789305967305
-15.5,0.4937307841470164,0.2871826485068724,0.15437452878405095,0.06471203856206027,263.08438949856253
-15,0.483103722923859,0.2898168645669164,0.16030640252302125,0.06677300998620331,301.93979683269265
-14.5,0.4746002586675239,0.2915972496220835,0.1646287661062707,0.06917372560412195,333.33672596084705
-14,0.46758346957124564,0.2925408569107597,0.16784871152769615,0.07202696199029857,369.27537378474204
-13.5,0.4610377696322303,0.2926315642698546,0.17080863741503913,0.07552202868287591,423.22416887769094
-13,0.4539547833116254,0.29185820024952,0.1744014915305478,0.07978552490830673,507.1888660964283
-12.5,0.4457670818827234,0.29033848670536233,0.17919859596076007,0.08469583545115415,621.228762663419
-12,0.4366822056306792,0.28841231791465194,0.18507702778085075,0.08982844867381806,735.5278756259304
-11.5,0.42750220309821285,0.28652765703532446,0.1912752380266742,0.09469490183978832,813.8758352533547
-11,0.41898304153343546,0.2849927979862053,0.19696322760555754,0.09906093287480162,868.2350324648299
-10.5,0.4114179774219483,0.2838734670506154,0.20172117365620618,0.1029873818712301,940.3915750226488
-10,0.4047183447959169,0.2830876596028466,0.2055597910300117,0.10663420457122477,1063.9805647627318
-9.5,0.39865674955624397,0.28254185780680413,0.20871639038743584,0.11008500224951612,1254.7543213768904
-9,0.39298710163144157,0.28220900584606595,0.21148595738121687,0.1133179351412756,1490.2210125774782
-8.5,0.3874144795640347,0.28213340204153664,0.21413974605122812,0.11631237234320049,1695.4596369477445
-8,0.3815154386682835,0.28238127362897575,0.21691340727753508,0.11918988042520563,1817.6316182331157
-7.5,0.374706931522382,0.28298156319159246,0.2200449099572952,0.12226659532873041,1898.7493948604429
-7,0.366296190422622,0.2838882872593843,0.22381483174799138,0.12600069057000232,2016.061480259773
-6.5,0.3556464671809679,0.2849530142493677,0.22851502603442642,0.13088549253523796,2223.9403412973506
-6,0.3425392683918298,0.2859054226993079,0.23428615062969818,0.13726915827916403,2542.8200596019688
-5.5,0.32763914238039177,0.28640053922216036,0.24087391139129288,0.14508640700615502,2924.6509570020826
-5,0.31254224216668597,0.2861797187905595,0.24756468578925198,0.15371335325350258,3222.9597786315826
-4.5,0.29899891090211933,0.2852296098325878,0.2535287391552757,0.16224274011001705,3318.343276134457
