season,game_id,posteam,team_spread,n_plays,positive,neutral,negative
2006,2006_02_CAR_MIN,MIN,2,60,0,0.8833333333333333,0.11666666666666667
2006,2006_02_CLE_CIN,CIN,10.5,74,0.7567567567567568,0.24324324324324326,0
2006,2006_02_CLE_CIN,CLE,-10.5,53,0,0.11320754716981132,0.8867924528301887
2006,2006_02_DET_CHI,CHI,7,61,0.8524590163934426,0.14754098360655737,0
2006,2006_02_DET_CHI,DET,-7,50,0,0.08,0.92
2006,2006_02_HOU_IND,HOU,-12.5,53,0,0.03773584905660377,0.9622641509433962
2006,2006_02_HOU_IND,IND,12.5,73,0.958904109589041,0.0410958904109589,0
2006,2006_02_KC_DEN,DEN,11,56,0,1,0
2006,2006_02_KC_DEN,KC,-11,58,0.017241379310344827,0.9827586206896551,0
2006,2006_02_NE_NYJ,NE,6,68,0.6911764705882353,0.3088235294117647,0
2006,2006_02_NE_NYJ,NYJ,-6,62,0,0.45161290322580644,0.5483870967741935
2006,2006_02_NO_GB,GB,-1,77,0.2597402597402597,0.4805194805194805,0.2597402597402597
2006,2006_02_NO_GB,NO,1,63,0.06349206349206349,0.47619047619047616,0.4603174603174603
2006,2006_02_NYG_PHI,NYG,-3,56,0,0.32142857142857145,0.6785714285714286
2006,2006_02_NYG_PHI,PHI,3,73,0.6986301369863014,0.3013698630136986,0
2006,2006_02_OAK_BAL,BAL,13,63,0.7777777777777778,0.2222222222222222,0
2006,2006_02_OAK_BAL,LV,-13,59,0,0.1864406779661017,0.8135593220338984
2006,2006_02_PIT_JAX,JAX,-2.5,67,0.2537313432835821,0.746268656716418,0
2006,2006_02_PIT_JAX,PIT,2.5,48,0,0.75,0.25
2006,2006_02_STL_SF,LA,3,67,0,0.8208955223880597,0.1791044776119403
2006,2006_02_STL_SF,SF,-3,53,0.5660377358490566,0.4339622641509434,0
2006,2006_02_TB_ATL,ATL,4.5,63,0.7142857142857143,0.2857142857142857,0
2006,2006_02_TB_ATL,TB,-4.5,69,0,0.2028985507246377,0.7971014492753623
2006,2006_02_TEN_SD,LAC,-12,73,0.6301369863013698,0.3698630136986301,0
2006,2006_02_TEN_SD,TEN,-12,56,0,0.10714285714285714,0.8928571428571429
2006,2006_02_WAS_DAL,DAL,7,70,0.7571428571428571,0.24285714285714285,0
2006,2006_02_WAS_DAL,WAS,-7,58,0,0.20689655172413793,0.7931034482758621
2006,2006_03_ATL_NO,ATL,4,59,0,0.1864406779661017,0.8135593220338984
2006,2006_03_ATL_NO,NO,-4,63,0.8571428571428571,0.14285714285714285,0
2006,2006_03_BAL_CLE,BAL,6.5,68,0,0.6470588235294118,0.35294117647058826
2006,2006_03_BAL_CLE,CLE,-6.5,59,0.3559322033898305,0.6440677966101694,0
2006,2006_03_CAR_TB,CAR,3,67,0.4925373134328358,0.5074626865671642,0
2006,2006_03_CAR_TB,TB,-3,50,0.02,0.6,0.38
2006,2006_03_CHI_MIN,CHI,3.5,60,0,1,0
2006,2006_03_CHI_MIN,MIN,-3.5,56,0.125,0.8571428571428571,0.017857142857142856
2006,2006_03_CIN_PIT,CIN,-2,54,0.07407407407407407,0.7407407407407407,0.18518518518518517
2006,2006_03_CIN_PIT,PIT,2,77,0.14285714285714285,0.5454545454545454,0.3116883116883117
2006,2006_03_DEN_NE,DEN,-6.5,62,0.43548387096774194,0.5645161290322581,0
2006,2006_03_DEN_NE,NE,6.5,76,0,0.40789473684210525,0.5921052631578947
2006,2006_03_GB_DET,DET,6.5,62,0,0.6774193548387096,0.3225806451612903
2006,2006_03_GB_DET,GB,-6.5,63,0.20634920634920634,0.7936507936507936,0
2006,2006_03_JAX_IND,IND,6.5,51,0.5098039215686274,0.49019607843137253,0
2006,2006_03_JAX_IND,JAX,-6.5,68,0,0.6470588235294118,0.35294117647058826
2006,2006_03_NYG_SEA,NYG,-4,51,0,0.11764705882352941,0.8823529411764706
2006,2006_03_NYG_SEA,SEA,4,74,0.9594594594594594,0.04054054054054054,0
2006,2006_03_NYJ_BUF,BUF,6,73,0.2191780821917808,0.3287671232876712,0.4520547945205479
2006,2006_03_NYJ_BUF,NYJ,-6,53,0.33962264150943394,0.660377358490566,0
2006,2006_03_PHI_SF,PHI,6,52,0.75,0.25,0
2006,2006_03_PHI_SF,SF,-6,76,0,0.07894736842105263,0.9210526315789473
2006,2006_03_STL_ARI,ARI,5.5,57,0.10526315789473684,0.5087719298245614,0.38596491228070173
2006,2006_03_STL_ARI,LA,-5.5,59,0.3559322033898305,0.6440677966101694,0
2006,2006_03_TEN_MIA,MIA,10.5,65,0.046153846153846156,0.9538461538461539,0
2006,2006_03_TEN_MIA,TEN,-10.5,57,0,1,0
2006,2006_03_WAS_HOU,HOU,-3.5,48,0,0.5208333333333334,0.4791666666666667
2006,2006_03_WAS_HOU,WAS,3.5,67,0.5522388059701493,0.40298507462686567,0.04477611940298507
2006,2006_04_ARI_ATL,ARI,-7,56,0,0.4642857142857143,0.5357142857142857
2006,2006_04_ARI_ATL,ATL,7,61,0.4262295081967213,0.5737704918032787,0
2006,2006_04_CLE_OAK,CLE,1,65,0.18461538461538463,0.4,0.4153846153846154
2006,2006_04_CLE_OAK,LV,1,52,0.23076923076923078,0.7692307692307693,0
2006,2006_04_DAL_TEN,DAL,10,59,0.6440677966101694,0.3559322033898305,0
