season,week,player_name,market,line,over_odds,under_odds,sportsbook,recorded_at
2026,1,Ty Johnson,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Daniel Jones,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Foster Moreau,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Josh Jacobs,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,T.J. Hockenson,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Marquise Brown,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Noah Fant,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Justice Hill,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,David Montgomery,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Andrew Beck,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Greg Dortch,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Dawson Knox,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,DK Metcalf,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Josh Oliver,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Tony Pollard,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Deebo Samuel Sr.,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,David Sills,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Devin Singletary,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Darius Slayton,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Olamide Zaccheaus,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,J.K. Dobbins,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Tyler Huntley,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Cole Kmet,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Darnell Mooney,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Tee Higgins,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Harrison Bryant,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,CeeDee Lamb,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Jerry Jeudy,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,D'Andre Swift,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,AJ Dillon,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Jordan Love,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Michael Pittman,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Jonathan Taylor,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Van Jefferson,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Tua Tagovailoa,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Justin Jefferson,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Juwan Johnson,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Jalen Hurts,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
