season,week,player_name,position,team,opponent,market,proj,line_eval,p_over_line,line,over_odds,under_odds,sportsbook,model_p_over,market_p_over,edge,lean
2026,1,Tyler Higbee,TE,LA,SF,anytime_td,0.21823905045935432,0.5,0.21823905045935432,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Austin Hooper,TE,NE,SEA,receptions,1.5606532799363486,1.5,0.4278792788698965,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Austin Hooper,TE,NE,SEA,anytime_td,0.1077258445793442,0.5,0.1077258445793442,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Demarcus Robinson,WR,SF,LA,receptions,1.7735865763261938,1.5,0.4774078677146298,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Demarcus Robinson,WR,SF,LA,anytime_td,0.10652821861667061,0.5,0.10652821861667061,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Derrick Henry,RB,BAL,IND,receptions,0.7444720143814393,0.5,0.43842814253500645,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Derrick Henry,RB,BAL,IND,anytime_td,0.6104857035924401,0.5,0.6104857035924401,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Kalif Raymond,WR,DET,NO,receptions,1.8508511813858097,1.5,0.4971130386716686,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Kalif Raymond,WR,DET,NO,anytime_td,0.12674146218037108,0.5,0.12674146218037108,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Evan Engram,TE,DEN,KC,receptions,3.189317842724596,3.5,0.3783528136269098,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Evan Engram,TE,DEN,KC,anytime_td,0.14192886115688141,0.5,0.14192886115688141,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Zay Jones,WR,ARI,LAC,receptions,2.0433188143877987,2.5,0.31444856708997265,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Zay Jones,WR,ARI,LAC,anytime_td,0.07979544449000753,0.5,0.07979544449000753,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Cooper Kupp,WR,SEA,NE,receptions,2.798902824936217,2.5,0.48403392595906397,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Cooper Kupp,WR,SEA,NE,anytime_td,0.18867034190008047,0.5,0.18867034190008047,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Kareem Hunt,RB,KC,DEN,receptions,0.9991395804358444,0.5,0.5120513475620763,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Kareem Hunt,RB,KC,DEN,anytime_td,0.3137552836423624,0.5,0.3137552836423624,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Jeremy McNichols,RB,WAS,PHI,receptions,1.3904881575847081,1.5,0.3579935446362421,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Jeremy McNichols,RB,WAS,PHI,anytime_td,0.09309472299988664,0.5,0.09309472299988664,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,David Njoku,TE,CLE,JAX,receptions,2.593720115572532,2.5,0.4102527924154354,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,David Njoku,TE,CLE,JAX,anytime_td,0.1583230067257696,0.5,0.1583230067257696,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Christian McCaffrey,RB,SF,LA,receptions,5.345218183024455,5.5,0.4220716978710623,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Christian McCaffrey,RB,SF,LA,anytime_td,0.5515407736835878,0.5,0.5515407736835878,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Alvin Kamara,RB,NO,DET,receptions,3.1834802798314157,3.5,0.3676953148017877,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Alvin Kamara,RB,NO,DET,anytime_td,0.3463181114415653,0.5,0.3463181114415653,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Curtis Samuel,WR,BUF,HOU,receptions,1.4144475358087525,1.5,0.37281619640658137,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Curtis Samuel,WR,BUF,HOU,anytime_td,0.116055739872998,0.5,0.116055739872998,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Aaron Jones,RB,MIN,GB,receptions,2.7102398365525877,2.5,0.4502684302039956,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Aaron Jones,RB,MIN,GB,anytime_td,0.4197249950882411,0.5,0.4197249950882411,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Patrick Mahomes,QB,KC,DEN,pass_yards,217.43795600926887,215.5,0.5051035031143314,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Patrick Mahomes,QB,KC,DEN,pass_tds,1.3549181159981638,1.5,0.3764457785410047,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Patrick Mahomes,QB,KC,DEN,anytime_td,0.2005243273726438,0.5,0.2005243273726438,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Samaje Perine,RB,CIN,TB,receptions,1.493564854850979,1.5,0.3873821487595501,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Samaje Perine,RB,CIN,TB,anytime_td,0.22909715233336736,0.5,0.22909715233336736,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,JuJu Smith-Schuster,WR,KC,DEN,receptions,1.833876149615123,1.5,0.4789748612093609,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,JuJu Smith-Schuster,WR,KC,DEN,anytime_td,0.0948831362496888,0.5,0.0948831362496888,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Josh Reynolds,WR,NYJ,TEN,receptions,2.1704674906849206,2.5,0.3471025987422831,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Josh Reynolds,WR,NYJ,TEN,anytime_td,0.12602573717352694,0.5,0.12602573717352694,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Jonnu Smith,TE,PIT,ATL,receptions,2.062687567820826,2.5,0.3279335155308356,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Jonnu Smith,TE,PIT,ATL,anytime_td,0.16216615708000015,0.5,0.16216615708000015,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Mack Hollins,WR,NE,SEA,receptions,3.3588881096852323,3.5,0.3943247838420995,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Mack Hollins,WR,NE,SEA,anytime_td,0.17190431990442068,0.5,0.17190431990442068,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,George Kittle,TE,SF,LA,receptions,5.781778925697156,5.5,0.48316502321512045,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,George Kittle,TE,SF,LA,anytime_td,0.27933261997853176,0.5,0.27933261997853176,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Mo Alie-Cox,TE,IND,BAL,receptions,1.5648680124340977,1.5,0.42334998493126047,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Mo Alie-Cox,TE,IND,BAL,anytime_td,0.12496668141353573,0.5,0.12496668141353573,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Johnny Mundt,TE,JAX,CLE,receptions,1.0633566935081378,1.5,0.27859457765386975,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Johnny Mundt,TE,JAX,CLE,anytime_td,0.10502573155881556,0.5,0.10502573155881556,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Kendrick Bourne,WR,SF,LA,receptions,2.1069333853772347,2.5,0.3328915053562965,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Kendrick Bourne,WR,SF,LA,anytime_td,0.10734865159658591,0.5,0.10734865159658591,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Taysom Hill,TE,NO,DET,receptions,1.2793819583187005,1.5,0.2960388352107033,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Taysom Hill,TE,NO,DET,anytime_td,0.19779437735949001,0.5,0.19779437735949001,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Tim Patrick,WR,JAX,CLE,receptions,1.3221652280274023,1.5,0.3299134113023815,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Tim Patrick,WR,JAX,CLE,anytime_td,0.10131440612877418,0.5,0.10131440612877418,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Cooper Rush,QB,BAL,IND,pass_yards,121.05137688914367,120.5,0.5027150561096745,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Cooper Rush,QB,BAL,IND,pass_tds,1.2730671325171994,1.5,0.3574242267578368,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Cooper Rush,QB,BAL,IND,anytime_td,0.07448964241694833,0.5,0.07448964241694833,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Dare Ogunbowale,RB,HOU,BUF,receptions,1.0234829803124252,1.5,0.25650063765210906,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Dare Ogunbowale,RB,HOU,BUF,anytime_td,0.05899555226335407,0.5,0.05899555226335407,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Christian Kirk,WR,HOU,BUF,receptions,2.6957533415552373,2.5,0.46458083470933315,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Christian Kirk,WR,HOU,BUF,anytime_td,0.17077421188877107,0.5,0.17077421188877107,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Allen Lazard,WR,NYJ,TEN,receptions,1.3108013709324056,1.5,0.3428661996886175,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Allen Lazard,WR,NYJ,TEN,anytime_td,0.09529805785537904,0.5,0.09529805785537904,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Baker Mayfield,QB,TB,CIN,pass_yards,244.26763213680775,245.5,0.4717297491997502,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Baker Mayfield,QB,TB,CIN,pass_tds,1.6995935732591745,1.5,0.5335698086088152,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Baker Mayfield,QB,TB,CIN,anytime_td,0.14026430142296586,0.5,0.14026430142296586,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,DJ Moore,WR,CHI,CAR,receptions,3.0401980384444434,3.5,0.3577626861903672,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,DJ Moore,WR,CHI,CAR,anytime_td,0.26737037900537264,0.5,0.26737037900537264,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Dalton Schultz,TE,HOU,BUF,receptions,4.2806430706158345,4.5,0.4074947151634735,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Dalton Schultz,TE,HOU,BUF,anytime_td,0.22900598414523488,0.5,0.22900598414523488,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Courtland Sutton,WR,DEN,KC,receptions,4.265532200907962,4.5,0.4044289471907909,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Courtland Sutton,WR,DEN,KC,anytime_td,0.24916332928436746,0.5,0.24916332928436746,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Ian Thomas,TE,LV,MIA,receptions,1.2579632990030283,1.5,0.33891234987125896,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Ian Thomas,TE,LV,MIA,anytime_td,0.1026925921634706,0.5,0.1026925921634706,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Cedrick Wilson Jr.,WR,MIA,LV,receptions,1.1194227281812408,1.5,0.29825883603114395,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Cedrick Wilson Jr.,WR,MIA,LV,anytime_td,0.06359253007688703,0.5,0.06359253007688703,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Josh Allen,QB,BUF,HOU,pass_yards,211.48067275347438,210.5,0.5015611915792954,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Josh Allen,QB,BUF,HOU,pass_tds,1.2963922473621752,1.5,0.3619059328330295,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Josh Allen,QB,BUF,HOU,anytime_td,0.34256373317060107,0.5,0.34256373317060107,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Mark Andrews,TE,BAL,IND,receptions,3.0703319152244553,3.5,0.3643021428543248,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Mark Andrews,TE,BAL,IND,anytime_td,0.24973957151653114,0.5,0.24973957151653114,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Saquon Barkley,RB,PHI,WAS,receptions,1.9511017452199941,1.5,0.4808766822960699,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Saquon Barkley,RB,PHI,WAS,anytime_td,0.593398149594188,0.5,0.593398149594188,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Braxton Berrios,WR,HOU,BUF,receptions,1.4967345373830268,1.5,0.40330143309164923,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Braxton Berrios,WR,HOU,BUF,anytime_td,0.08584538940230668,0.5,0.08584538940230668,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Dallas Goedert,TE,PHI,WAS,receptions,4.171395891613064,4.5,0.3852158973197385,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Dallas Goedert,TE,PHI,WAS,anytime_td,0.35371715514020485,0.5,0.35371715514020485,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Nick Chubb,RB,HOU,BUF,receptions,0.5907461267647618,0.5,0.3672457646352634,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Nick Chubb,RB,HOU,BUF,anytime_td,0.18954348789902986,0.5,0.18954348789902986,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Sam Darnold,QB,SEA,NE,pass_yards,223.9140783499593,225.5,0.48938779469384386,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Sam Darnold,QB,SEA,NE,pass_tds,1.4167444875251083,1.5,0.4120639313522183,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Sam Darnold,QB,SEA,NE,anytime_td,0.10469901908629065,0.5,0.10469901908629065,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Will Dissly,TE,LAC,ARI,receptions,1.875400181453817,1.5,0.45575854629820006,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Will Dissly,TE,LAC,ARI,anytime_td,0.16162065013823423,0.5,0.16162065013823423,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Tanner Hudson,TE,CIN,TB,receptions,1.951598403339522,1.5,0.5003841030887852,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Tanner Hudson,TE,CIN,TB,anytime_td,0.16632649207605354,0.5,0.16632649207605354,NA,NA,NA,NA,NA,NA,NA,NA
