week,player,pos,exp_rec,actual,naive,line,p_over,over
5,Rico Dowdle,RB,1.3470562087407143,3,1.4056263696228644,1.5,0.3554253811288635,1
5,Jonathan Taylor,RB,2.1389551427817555,3,1.8968317671322161,2.5,0.34130085138702154,1
5,Kyren Williams,RB,1.731742449834555,8,1.7262909015074217,1.5,0.45971003318182085,1
5,Javonte Williams,RB,3.3192139982353237,1,3.0147134136135993,3.5,0.39771611640818977,0
5,Jacory Croskey-Merritt,RB,1.0503351691001248,2,0.8754871802997252,1.5,0.279003544422799,1
5,Christian McCaffrey,RB,5.279465470957231,8,5.68893134347503,5.5,0.41735045901572554,1
5,Rachaad White,RB,2.4138753057567053,4,2.149851272203241,2.5,0.3890539872236482,1
5,Kareem Hunt,RB,1.3687532267052662,1,1.3180176141914348,1.5,0.3469400530611472,0
5,David Montgomery,RB,1.7688802629155311,1,1.5174479682223048,1.5,0.4665746347382804,0
5,Saquon Barkley,RB,2.436026901889158,3,2.271234595303899,2.5,0.40833723141729067,1
5,Michael Carter,RB,1.3985976271164255,5,1.3226745558864945,1.5,0.3289832496634289,1
5,Jahmyr Gibbs,RB,3.651612148164399,2,3.047076236967759,3.5,0.43647948298674444,0
5,Breece Hall,RB,3.8802533455998907,4,3.3022340798176066,3.5,0.492862345175298,1
5,J.K. Dobbins,RB,1.8202630923393015,1,1.560735662016786,1.5,0.46729025614881997,0
5,Rhamondre Stevenson,RB,2.3044295776465438,2,1.9046597178588822,2.5,0.3698097190398047,0
5,De'Von Achane,RB,4.412127094669125,6,4.057441327826447,4.5,0.41795529681085714,1
5,Ashton Jeanty,RB,1.5580162943919569,5,1.3135211495035184,1.5,0.41022215370355075,1
5,Quinshon Judkins,RB,2.182360125453571,1,2.0558891420619796,2.5,0.3644290435555284,0
5,Tony Pollard,RB,2.024939199964788,3,2.0065030421274828,2.5,0.32267317877848356,1
5,Nick Chubb,RB,1.3125412311377578,0,1.306096768824572,1.5,0.3553377700061139,0
5,Cam Skattebo,RB,2.8767075867116776,6,2.5761030677751835,2.5,0.4638514667945215,1
5,Zach Charbonnet,RB,1.5680264756031879,1,1.4272725487988325,1.5,0.3714667737865652,0
